OpenGEM;05.10.2007;00:34:34
OpenGEM;05.10.2007;00:35:53
Norton Commander 5.5;05.10.2007;00:36:07
OpenGEM;05.10.2007;00:42:06
OpenGEM;05.10.2007;00:54:20
DOSBox DOS;05.10.2007;01:32:01
DOSBox DOS;05.10.2007;01:45:53
FreeDOS;05.10.2007;01:46:24
DOSBox DOS;05.10.2007;01:47:48
DOSBox DOS;05.10.2007;01:47:58
FreeDOS;05.10.2007;01:48:04
OpenGEM;05.10.2007;01:50:57
DOSBox DOS;05.10.2007;01:51:10
FreeDOS;05.10.2007;01:51:13
DOSBox DOS;05.10.2007;01:52:50
DOSBox DOS;09.10.2007;22:56:19
OpenGEM;09.10.2007;22:57:07
OpenGEM;09.10.2007;22:57:47
FreeDOS;09.10.2007;22:58:38
DOSBox DOS;09.10.2007;23:00:02
eine Vorlage;09.10.2007;23:15:07
eine Vorlage;09.10.2007;23:18:21
DOSBox DOS;09.10.2007;23:47:43
DOSBox DOS;09.10.2007;23:49:20
DOSBox DOS;09.10.2007;23:50:43
DOSBox DOS;09.10.2007;23:53:10
DOSBox DOS;09.10.2007;23:54:06
DOSBox DOS;09.10.2007;23:54:33
DOSBox DOS;09.10.2007;23:55:09
DOSBox DOS;09.10.2007;23:55:54
DOSBox DOS;09.10.2007;23:57:03
eine Vorlage;09.10.2007;23:57:17
DOSBox DOS;10.10.2007;00:54:12
DOSBox DOS;10.10.2007;00:59:31
DOSBox DOS;10.10.2007;01:01:06
DOSBox DOS;10.10.2007;01:03:37
DOSBox DOS;10.10.2007;01:04:34
FreeDOS Test;10.10.2007;15:53:44
FreeDOS Test;10.10.2007;15:56:29
DOSBox DOS;10.10.2007;16:17:21
DOSBox DOS;10.10.2007;16:44:14
DOSBox DOS;10.10.2007;16:48:58
test;10.10.2007;17:40:07
FreeDOS;10.10.2007;18:05:14
FreeDOS;10.10.2007;18:06:41
DOSBox DOS;10.10.2007;18:37:25
DOSBox DOS;10.10.2007;18:57:28
DOSBox DOS;10.10.2007;19:20:07
DOSBox DOS;10.10.2007;19:20:20
DOSBox DOS;10.10.2007;19:49:14
DOSBox DOS;10.10.2007;19:49:28
DOSBox DOS;10.10.2007;19:50:13
DOSBox DOS;10.10.2007;19:55:11
DOSBox DOS;10.10.2007;19:57:59
DOSBox DOS;10.10.2007;19:58:20
DOSBox DOS;10.10.2007;20:02:11
DOSBox DOS;10.10.2007;20:24:46
DOSBox DOS;10.10.2007;20:26:40
DOSBox DOS;10.10.2007;20:26:56
DOSBox DOS;10.10.2007;20:34:23
DOSBox DOS;10.10.2007;20:41:00
DOSBox DOS;11.10.2007;00:26:36
DOSBox DOS;11.10.2007;11:14:15
DOSBox DOS;11.10.2007;11:56:11
FreeDOS;11.10.2007;11:56:53
FreeDOS;13.10.2007;16:17:00
DOSBox DOS;15.10.2007;15:34:19
DOSBox DOS;15.10.2007;17:45:51
DOSBox DOS;15.10.2007;17:53:02
DOSBox DOS;15.10.2007;18:05:50
DOSBox DOS;15.10.2007;18:07:32
DOSBox DOS;15.10.2007;20:11:25
OpenGEM;17.10.2007;13:54:05
DOSBox DOS;18.10.2007;08:26:52
DOSBox DOS;18.10.2007;09:00:10
DOSBox DOS;18.10.2007;09:14:27
DOSBox DOS;18.10.2007;09:20:36
DOSBox DOS;18.10.2007;09:23:34
DOSBox DOS;18.10.2007;09:24:29
DOSBox DOS;18.10.2007;09:24:47
FreeDOS;18.10.2007;09:26:39
DOSBox DOS;18.10.2007;09:27:09
Necromancers's Dos Navigator (NC Clone);18.10.2007;09:29:29
Necromancers's Dos Navigator (NC Clone);18.10.2007;09:29:55
Necromancers's Dos Navigator (NC Clone);18.10.2007;09:30:25
Necromancers's Dos Navigator (NC Clone);18.10.2007;09:32:14
DOSBox DOS;18.10.2007;09:32:29
Necromancers's Dos Navigator (NC Clone);18.10.2007;09:33:54
Necromancers's Dos Navigator (NC Clone);18.10.2007;09:39:24
Norton Commander 5.5;18.10.2007;09:42:34
Necromancers's Dos Navigator (NC Clone);18.10.2007;10:07:01
Necromancers's Dos Navigator (NC Clone);18.10.2007;11:51:33
Norton Commander 5.5;18.10.2007;11:51:51
DOSBox DOS;18.10.2007;11:56:49
Norton Commander 5.5 (deutsch);18.10.2007;12:04:56
Norton Commander 5.51 (english);18.10.2007;12:05:01
Norton Commander 5.51 (english);18.10.2007;12:05:45
DOSBox DOS;18.10.2007;12:07:20
